epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,545.235,0.8723,0.89662,0.90133,0.86328,0.7364,0.73105,0.79781,0.55349,0.74764,0.74758,0.80138,0.54913,0.52235,0.73733,0.48036,0.53937,0.0014258,0.0014258,0.0014258
31,564.125,0.8354,0.87025,0.86242,0.83998,0.76277,0.73832,0.79533,0.56624,0.77242,0.74766,0.80688,0.56169,0.51746,0.74948,0.51374,0.53644,0.001406,0.001406,0.001406
32,582.097,0.87462,0.90293,0.89096,0.80911,0.75998,0.59813,0.75262,0.51252,0.77496,0.60748,0.76147,0.54352,0.54007,0.72071,0.54681,0.54616,0.0013862,0.0013862,0.0013862
33,599.92,0.92175,0.87623,0.90125,0.81851,0.62009,0.72897,0.7451,0.53476,0.62143,0.72897,0.73392,0.50562,0.52487,0.74258,0.66035,0.55391,0.0013664,0.0013664,0.0013664
34,617.938,0.93633,0.98166,0.96455,0.8485,0.72384,0.64486,0.78837,0.55349,0.72347,0.66021,0.78616,0.56253,0.52635,0.773,0.53954,0.55234,0.0013466,0.0013466,0.0013466
35,635.815,0.86213,0.84908,0.82358,0.85444,0.76629,0.70093,0.77965,0.55884,0.76629,0.70093,0.78043,0.55727,0.528,0.70621,0.66128,0.52984,0.0013268,0.0013268,0.0013268
36,653.887,0.82727,0.83896,0.8263,0.81754,0.70249,0.71028,0.76881,0.52943,0.70249,0.71028,0.77606,0.53785,0.51499,0.67431,0.68968,0.53287,0.001307,0.001307,0.001307
37,671.779,0.85791,0.89428,0.8433,0.85178,0.8821,0.76636,0.88239,0.62528,0.88979,0.76636,0.8698,0.5924,0.5049,0.68276,0.4505,0.53271,0.0012872,0.0012872,0.0012872
38,689.495,0.73441,0.79367,0.82955,0.72308,0.72468,0.78718,0.80849,0.54916,0.72468,0.78718,0.80883,0.51877,0.54633,0.72437,0.52834,0.54096,0.0012674,0.0012674,0.0012674
39,708.036,0.95842,1.01046,0.92581,0.90427,0.77745,0.85047,0.84597,0.61827,0.77309,0.82788,0.84973,0.59682,0.48565,0.74443,0.44339,0.51983,0.0012476,0.0012476,0.0012476
40,725.87,0.76913,0.81472,0.7959,0.76365,0.8055,0.6967,0.8133,0.57018,0.8055,0.6967,0.81534,0.59194,0.53561,0.69792,0.5159,0.53509,0.0012278,0.0012278,0.0012278
41,743.897,0.81014,0.86709,0.82192,0.80022,0.85331,0.66355,0.81379,0.56139,0.85331,0.66355,0.80814,0.57586,0.55723,0.77243,0.57113,0.56021,0.001208,0.001208,0.001208
42,761.755,0.81348,0.80944,0.77165,0.77879,0.71553,0.75226,0.79607,0.56007,0.70138,0.76636,0.80373,0.54501,0.53335,0.75634,0.54367,0.52267,0.0011882,0.0011882,0.0011882
43,779.647,0.77285,0.81808,0.83809,0.7443,0.78841,0.80097,0.82953,0.58458,0.79761,0.81032,0.82905,0.53179,0.52187,0.71196,0.4699,0.5433,0.0011684,0.0011684,0.0011684
44,797.711,0.81299,0.85706,0.81919,0.80399,0.74251,0.78155,0.84618,0.61193,0.74251,0.78155,0.84521,0.59266,0.47446,0.70138,0.45178,0.50566,0.0011486,0.0011486,0.0011486
45,815.697,0.8291,0.84821,0.79586,0.78157,0.7453,0.83178,0.86445,0.59116,0.7453,0.83178,0.86445,0.60238,0.49834,0.69066,0.48281,0.51666,0.0011288,0.0011288,0.0011288
46,834.043,0.84034,0.93274,0.79769,0.81661,0.78556,0.8217,0.86636,0.59947,0.77663,0.81235,0.8631,0.61206,0.49342,0.68901,0.44074,0.54776,0.001109,0.001109,0.001109
47,852.284,0.74396,0.76564,0.68905,0.72599,0.78773,0.86705,0.87034,0.61755,0.79622,0.8764,0.88171,0.61948,0.507,0.69769,0.43597,0.53341,0.0010892,0.0010892,0.0010892
48,870.196,0.75585,0.79195,0.75093,0.74686,0.65504,0.81308,0.78686,0.53084,0.66257,0.82243,0.79291,0.51318,0.51186,0.69728,0.54069,0.52479,0.0010694,0.0010694,0.0010694
49,888.166,0.74445,0.78611,0.73543,0.75702,0.75377,0.84112,0.86425,0.61601,0.7454,0.83178,0.85532,0.60684,0.47861,0.66032,0.43801,0.52572,0.0010496,0.0010496,0.0010496
50,906.587,0.82769,0.83799,0.77195,0.81193,0.77976,0.82724,0.87242,0.62851,0.76985,0.81279,0.86089,0.60527,0.4871,0.65992,0.46333,0.52111,0.0010298,0.0010298,0.0010298
51,924.853,0.78298,0.79237,0.77969,0.79499,0.84379,0.78505,0.88079,0.6367,0.84379,0.78505,0.88079,0.6117,0.48646,0.71685,0.56386,0.52892,0.00101,0.00101,0.00101
52,942.908,0.7445,0.82127,0.77084,0.80164,0.89524,0.79871,0.89325,0.65856,0.89524,0.79871,0.89082,0.60087,0.42038,0.69857,0.40529,0.48404,0.0009902,0.0009902,0.0009902
53,960.932,0.7649,0.85014,0.71383,0.77237,0.81551,0.81308,0.866,0.64783,0.76413,0.88785,0.87352,0.61928,0.45506,0.73039,0.39952,0.50685,0.0009704,0.0009704,0.0009704
54,978.877,0.75214,0.8203,0.68929,0.7694,0.80907,0.83166,0.85777,0.62181,0.78489,0.82243,0.8462,0.59301,0.4887,0.7254,0.46745,0.50659,0.0009506,0.0009506,0.0009506
55,997.065,0.75096,0.84303,0.69323,0.75735,0.76932,0.85047,0.87447,0.64486,0.76086,0.84112,0.86529,0.60523,0.45692,0.70604,0.39956,0.50671,0.0009308,0.0009308,0.0009308
56,1015.09,0.70493,0.7517,0.6793,0.74849,0.9082,0.76636,0.89731,0.66869,0.9082,0.76636,0.89136,0.61918,0.45187,0.73149,0.37825,0.49157,0.000911,0.000911,0.000911
57,1032.88,0.7453,0.80044,0.78267,0.7452,0.81311,0.84112,0.87878,0.64936,0.81311,0.84112,0.88468,0.62114,0.49079,0.70759,0.39764,0.51863,0.0008912,0.0008912,0.0008912
58,1050.99,0.74116,0.81845,0.70687,0.77157,0.85281,0.84112,0.90022,0.64299,0.84798,0.84112,0.89352,0.6071,0.4554,0.73299,0.40196,0.4966,0.0008714,0.0008714,0.0008714
59,1069.03,0.76712,0.77,0.7059,0.76177,0.80305,0.83178,0.89173,0.66294,0.79836,0.81405,0.87722,0.63483,0.4561,0.66104,0.40843,0.49054,0.0008516,0.0008516,0.0008516
60,1086.97,0.72404,0.76964,0.67729,0.76872,0.83715,0.83178,0.89264,0.64991,0.86188,0.75818,0.88255,0.61639,0.47574,0.66618,0.4133,0.50115,0.0008318,0.0008318,0.0008318
61,1104.92,0.77579,0.75994,0.73168,0.78474,0.87447,0.80374,0.88742,0.64203,0.85414,0.78505,0.88348,0.59429,0.4933,0.69163,0.41284,0.50735,0.000812,0.000812,0.000812
62,1122.98,0.75337,0.80802,0.64383,0.7753,0.77582,0.84093,0.88722,0.66715,0.81672,0.7757,0.88854,0.65312,0.43912,0.65779,0.39734,0.49192,0.0007922,0.0007922,0.0007922
63,1140.95,0.70444,0.74698,0.59253,0.73431,0.88782,0.81363,0.9033,0.67312,0.87762,0.80428,0.89742,0.62253,0.47915,0.67556,0.39891,0.50242,0.0007724,0.0007724,0.0007724
64,1158.5,0.65471,0.72481,0.66445,0.69814,0.84749,0.83096,0.87275,0.63928,0.8308,0.81308,0.86514,0.59988,0.45773,0.67494,0.40804,0.48773,0.0007526,0.0007526,0.0007526
65,1176.55,0.76026,0.82055,0.69411,0.77377,0.74613,0.8785,0.88709,0.64414,0.74613,0.8785,0.88551,0.60977,0.46614,0.70509,0.40458,0.50173,0.0007328,0.0007328,0.0007328
66,1194.26,0.66524,0.73374,0.62146,0.70688,0.83532,0.75701,0.87241,0.63311,0.83532,0.75701,0.86942,0.61427,0.49299,0.74675,0.42282,0.50299,0.000713,0.000713,0.000713
67,1212.3,0.6921,0.72659,0.64226,0.73052,0.80282,0.86916,0.88502,0.66179,0.80282,0.86916,0.88886,0.61975,0.47659,0.69628,0.42329,0.50725,0.0006932,0.0006932,0.0006932
68,1230.64,0.73686,0.82199,0.69861,0.79135,0.83757,0.80374,0.87532,0.66567,0.82922,0.79439,0.86584,0.60959,0.42695,0.66468,0.387,0.47305,0.0006734,0.0006734,0.0006734
69,1248.63,0.67917,0.80535,0.61025,0.7501,0.86431,0.83178,0.88764,0.66563,0.86369,0.80374,0.881,0.61889,0.4561,0.6723,0.37185,0.50869,0.0006536,0.0006536,0.0006536
70,1266.57,0.65515,0.77227,0.61128,0.71701,0.81513,0.85981,0.88905,0.64979,0.81513,0.85981,0.88905,0.61944,0.49433,0.69717,0.40173,0.53096,0.0006338,0.0006338,0.0006338
71,1284.45,0.69618,0.71945,0.60842,0.76963,0.83374,0.85047,0.88635,0.68463,0.81523,0.83178,0.87099,0.61961,0.45482,0.64197,0.37925,0.49012,0.000614,0.000614,0.000614
72,1302.48,0.69652,0.7412,0.61544,0.77028,0.86256,0.84112,0.90562,0.68963,0.86256,0.84112,0.90562,0.67178,0.43599,0.63842,0.36918,0.48157,0.0005942,0.0005942,0.0005942
73,1320.65,0.64488,0.68043,0.59275,0.75809,0.86324,0.85981,0.90274,0.69323,0.86324,0.85981,0.90245,0.64875,0.43069,0.64292,0.36774,0.48226,0.0005744,0.0005744,0.0005744
74,1338.77,0.69066,0.77495,0.59389,0.76706,0.8835,0.84112,0.89492,0.69559,0.8835,0.84112,0.89492,0.65094,0.42971,0.66741,0.37303,0.47884,0.0005546,0.0005546,0.0005546
75,1356.79,0.70243,0.77521,0.59984,0.76623,0.8656,0.84273,0.90307,0.7109,0.8656,0.84273,0.90307,0.65697,0.40832,0.6862,0.36681,0.47344,0.0005348,0.0005348,0.0005348
76,1374.77,0.69912,0.7069,0.57097,0.72863,0.87305,0.82243,0.89445,0.69114,0.86313,0.81308,0.89329,0.62771,0.4316,0.68583,0.38805,0.47835,0.000515,0.000515,0.000515
77,1392.75,0.64135,0.79491,0.6389,0.7133,0.85553,0.84112,0.89204,0.69084,0.84301,0.83178,0.89609,0.64742,0.41522,0.65763,0.37798,0.47554,0.0004952,0.0004952,0.0004952
78,1410.79,0.65358,0.71446,0.57429,0.74588,0.83522,0.85268,0.89244,0.69312,0.82606,0.84333,0.88989,0.63215,0.42858,0.70185,0.40555,0.48675,0.0004754,0.0004754,0.0004754
79,1428.75,0.60546,0.66245,0.5458,0.69285,0.85213,0.86175,0.91029,0.69047,0.84289,0.8524,0.90335,0.62946,0.42949,0.6784,0.39457,0.46986,0.0004556,0.0004556,0.0004556
80,1446.79,0.68072,0.70702,0.57236,0.75481,0.80316,0.8785,0.89393,0.67569,0.85401,0.80374,0.88727,0.63307,0.44497,0.70848,0.39026,0.48793,0.0004358,0.0004358,0.0004358
81,1464.83,0.68409,0.74844,0.5187,0.74569,0.87344,0.80374,0.90288,0.68944,0.87344,0.80374,0.90288,0.63326,0.41976,0.67521,0.38198,0.48198,0.000416,0.000416,0.000416
82,1482.76,0.66057,0.62608,0.6271,0.75864,0.84734,0.8819,0.91587,0.70671,0.82941,0.8634,0.90475,0.63022,0.41653,0.64129,0.37981,0.46946,0.0003962,0.0003962,0.0003962
83,1500.49,0.59696,0.65156,0.52628,0.67613,0.80404,0.91589,0.9081,0.68243,0.79584,0.90654,0.89936,0.63254,0.43123,0.66126,0.35954,0.48717,0.0003764,0.0003764,0.0003764
84,1518.43,0.59112,0.66437,0.51516,0.72881,0.87007,0.86916,0.91393,0.68781,0.86215,0.8768,0.90595,0.62788,0.44771,0.66146,0.37306,0.49086,0.0003566,0.0003566,0.0003566
85,1535.98,0.58176,0.61464,0.50146,0.68539,0.86784,0.85918,0.89844,0.70794,0.8525,0.85981,0.8989,0.66492,0.4109,0.64753,0.37811,0.47298,0.0003368,0.0003368,0.0003368
86,1553.83,0.62331,0.69508,0.58186,0.70216,0.8497,0.8982,0.91675,0.70781,0.8413,0.8918,0.90692,0.64508,0.41541,0.63372,0.35086,0.46894,0.000317,0.000317,0.000317
87,1571.81,0.63049,0.76277,0.59851,0.73825,0.8622,0.87712,0.91917,0.69813,0.8622,0.87712,0.91917,0.63355,0.41236,0.62183,0.36294,0.46763,0.0002972,0.0002972,0.0002972
88,1589.35,0.53674,0.61514,0.51524,0.64629,0.8522,0.8972,0.9123,0.69867,0.8522,0.8972,0.9123,0.63478,0.39718,0.62263,0.34823,0.47189,0.0002774,0.0002774,0.0002774
89,1607.23,0.57978,0.6231,0.56969,0.68435,0.85987,0.8785,0.91968,0.71044,0.85987,0.8785,0.92,0.64871,0.40772,0.61479,0.33875,0.46912,0.0002576,0.0002576,0.0002576
90,1625.08,0.59095,0.65011,0.50664,0.71416,0.86937,0.86916,0.91839,0.71124,0.87847,0.87826,0.91857,0.65834,0.39897,0.63521,0.3502,0.46961,0.0002378,0.0002378,0.0002378
91,1657.78,0.51023,0.59422,0.45819,0.61488,0.81545,0.92523,0.90717,0.69444,0.81545,0.92523,0.90439,0.63866,0.42079,0.63622,0.36379,0.47485,0.000218,0.000218,0.000218
92,1674.9,0.44403,0.53967,0.4048,0.57045,0.8394,0.92814,0.90919,0.70474,0.8394,0.92814,0.90962,0.65064,0.41425,0.63326,0.35385,0.47723,0.0001982,0.0001982,0.0001982
93,1692.09,0.44478,0.58788,0.44848,0.59714,0.87321,0.90109,0.91746,0.72219,0.88226,0.91044,0.91886,0.65474,0.40613,0.6199,0.35542,0.4688,0.0001784,0.0001784,0.0001784
94,1709.27,0.45491,0.53209,0.41669,0.59833,0.8874,0.91589,0.93046,0.72831,0.88078,0.89762,0.91901,0.66285,0.41017,0.62237,0.34236,0.47468,0.0001586,0.0001586,0.0001586
95,1726.53,0.44322,0.54605,0.40246,0.57067,0.8592,0.91589,0.91888,0.73039,0.87486,0.91472,0.91926,0.6438,0.40219,0.62617,0.34473,0.46743,0.0001388,0.0001388,0.0001388
96,1743.62,0.46686,0.55189,0.4138,0.57505,0.86527,0.90033,0.9115,0.71043,0.87469,0.9133,0.91234,0.6524,0.39438,0.6258,0.34822,0.46096,0.000119,0.000119,0.000119
97,1760.94,0.44367,0.50566,0.39662,0.57776,0.851,0.90741,0.91066,0.7109,0.851,0.90741,0.91066,0.6572,0.39851,0.63025,0.3521,0.46581,9.92e-05,9.92e-05,9.92e-05
98,1778.06,0.42727,0.55983,0.37752,0.57558,0.89362,0.88785,0.91308,0.70931,0.89362,0.88785,0.91308,0.6466,0.39824,0.63576,0.34828,0.46456,7.94e-05,7.94e-05,7.94e-05
99,1795.31,0.448,0.54216,0.37026,0.58456,0.87272,0.90654,0.91552,0.71702,0.86373,0.8972,0.90661,0.65657,0.39573,0.63245,0.34472,0.4611,5.96e-05,5.96e-05,5.96e-05
100,1812.6,0.43967,0.5297,0.36848,0.57211,0.88118,0.901,0.9205,0.72457,0.88118,0.901,0.9205,0.65522,0.40521,0.64481,0.3444,0.4663,3.98e-05,3.98e-05,3.98e-05
