epoch,train_loss,train_dice,val_loss,val_dice
1,0.7573769191900889,0.011337270882601539,0.689801836013794,0.0069283065386116505
2,0.6928702029916975,0.014413224766030908,0.6467830657958984,0.014818221144378186
3,0.6538948979642656,0.015323803604890903,0.6129172444343567,0.016653847880661488
4,0.628887630171246,0.016543793129838176,0.6084983706474304,0.016759171150624752
5,0.605940967798233,0.017352016487469275,0.5792938351631165,0.019950276240706444
6,0.5867067078749338,0.01874055082185401,0.5933940052986145,0.019770805910229682
7,0.5697188013129764,0.019091290318303637,0.5446997165679932,0.024167823418974877
8,0.5487491885821024,0.02123481273237202,0.5239265561103821,0.028752858564257622
9,0.5194443414608637,0.027394435678919155,1.0510668635368348,0.011201401986181737
10,0.4828437003824446,0.03194038373314672,0.45733351707458497,0.0464911013841629
11,0.44556642903221977,0.027905400325026777,0.43109368085861205,0.04186700060963631
12,0.4204503330919478,0.011451357412928095,0.40618115067481997,0.01561972200870514
13,0.4048022876183192,0.004104223148816446,0.4590310752391815,0.001558445522096008
14,0.39579825434419846,0.0017582613146885045,0.3833429992198944,0.001454902545083314
15,0.38933927814165753,0.0009090485777267323,0.38409531116485596,0.000827123352792114
16,0.3810100919670529,0.0004300907584201851,0.37414115071296694,0.0002770709659671411
17,0.3745360208882226,0.00010278115021056774,0.3770913779735565,0.00013100470412257952
18,0.37652867204613155,6.828416194729706e-05,0.3800043225288391,4.6928392238736874e-05
19,0.37203852004475063,6.854516174725708e-05,0.3684336543083191,5.31124435111021e-05
20,0.36687872807184857,1.5017262414796278e-05,0.36465436816215513,3.601237780204158e-11
21,0.36307109395662945,3.5458340474633803e-06,0.3629571974277496,3.8229584081728164e-11
22,0.3600655181540383,1.7865044248709935e-06,0.3606343507766724,3.9520278716231874e-11
23,0.3572649723953671,3.862150226366379e-11,0.3598378598690033,3.5459319855379866e-11
24,0.3549337685108185,3.8684719827563545e-11,0.35205212235450745,3.8875556940265456e-11
25,0.3528691944148805,3.9700329491832505e-11,0.3498116612434387,4.198933874210997e-11
26,0.35080033044020337,4.012751049652251e-11,0.3536353349685669,4.191366663464091e-11
27,0.34912098944187164,4.002290667092111e-11,0.3498146772384644,4.306858689129278e-11
28,0.347398825817638,4.0680886996238535e-11,0.3478181004524231,4.278930404444381e-11
29,0.3457819488313463,4.094295755053946e-11,0.3489537715911865,4.2231797225955606e-11
30,0.3452303757270177,3.9288398055725704e-11,0.3452907145023346,4.284320467839997e-11
31,0.3434532665544086,4.0468846927093564e-11,0.3459446907043457,4.0653037186588745e-11
32,0.3415801392661201,4.1176840197585135e-11,0.34233149886131287,4.34782567587666e-11
33,0.3399117092291514,4.1581142078910775e-11,0.34072738885879517,4.2401803249103584e-11
34,0.33862855864895713,4.161113882088384e-11,0.34082502126693726,4.306903271522611e-11
35,0.33749976257483166,4.1693454341024734e-11,0.33630630373954773,4.3487593734403696e-11
36,0.33593669533729553,4.1966213297649366e-11,0.3338413178920746,4.328438267531265e-11
37,0.33456892106268143,4.220778751584047e-11,0.3359169602394104,4.342544865365561e-11
38,0.33333437972598606,4.2268787524896774e-11,0.33076156973838805,4.3657061646329434e-11
39,0.3321021149555842,4.2404689038704695e-11,0.3305140256881714,4.334875895739554e-11
40,0.3308782759639952,4.2568632839369416e-11,0.3312226116657257,4.343692697195145e-11
41,0.32971493403116864,4.245343409376496e-11,0.3273073971271515,4.367631013801887e-11
42,0.3286611537138621,4.255867735771431e-11,0.3276683032512665,4.3134662161548044e-11
43,0.3276617212427987,4.244631835444003e-11,0.3298188328742981,4.318483348697555e-11
44,0.3264412151442634,4.247863336159168e-11,0.32532066106796265,4.359544218679456e-11
45,0.32537352045377094,4.2523165737064064e-11,0.3258702874183655,4.352084422010183e-11
46,0.3242338134182824,4.254790144822859e-11,0.3235329627990723,4.351637834798527e-11
47,0.3229939076635573,0.000126455690360277,0.32370580434799195,6.830313955713402e-05
48,0.32196639643775093,0.0014617634518286232,0.3228964149951935,0.0012493652499381367
49,0.32089731593926746,0.005038367018084855,0.32131757736206057,0.011294618895577141
50,0.319713541203075,0.021733309331428256,0.3214553415775299,0.032640436899964695
51,0.3184666766060723,0.12516023456995728,0.31936910152435305,0.1994050331413746
52,0.31724584764904445,0.33910731847087544,0.3174948334693909,0.2566244529560208
53,0.3158553789059321,0.5105776036572125,0.3158585727214813,0.46542889475822447
54,0.31466809080706704,0.6067905136280589,0.3154166221618652,0.4949024558067322
55,0.31352107061280143,0.6525419449640645,0.31629077792167665,0.5279174447059631
56,0.3125731812583076,0.6491361533602079,0.3151927649974823,0.6101989626884461
57,0.31133704880873364,0.6821315437555313,0.31386612057685853,0.5829308092594147
58,0.3102409624391132,0.6857298745085176,0.30909487009048464,0.6474822163581848
59,0.30893297162320876,0.7135334312915802,0.30958390831947324,0.6476708054542542
60,0.30778229236602783,0.7310717304547628,0.3078854739665985,0.700705623626709
61,0.3067695134215885,0.730550456378195,0.3076042175292969,0.7059101104736328
62,0.30584655867682564,0.7394845419459872,0.3067075788974762,0.6529490947723389
63,0.30483458439509076,0.7414377629756927,0.3057276368141174,0.6633225917816162
64,0.3037700951099396,0.7420887185467614,0.30477524399757383,0.7366418600082397
65,0.3025485376516978,0.7568080061011844,0.30312952399253845,0.7051686525344849
66,0.3014192365937763,0.7687313689125909,0.3007590889930725,0.7110317468643188
67,0.3003201699919171,0.7749395569165548,0.3001107931137085,0.7206098914146424
68,0.2992655601766374,0.7829698688454099,0.30002508163452146,0.7358613967895508
69,0.29833854072623783,0.785787410206265,0.29937577843666074,0.6904886603355408
70,0.29749803576204514,0.7885422739717696,0.29652510285377504,0.7077006816864013
71,0.2963917868004905,0.7893008490403494,0.2966287314891815,0.7198721885681152
72,0.29536761509047615,0.7898817095491621,0.29483630657196047,0.6891302704811096
73,0.29432103865676457,0.7973386777771844,0.2937172055244446,0.7036566972732544
74,0.29325707091225517,0.7982576621903313,0.29266697764396665,0.6894402861595154
75,0.2922818197144402,0.8054893745316399,0.2945797681808472,0.7031808733940125
